Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,,
5,Loamy Sand,Goldsboro,100,Bt3,Lab,7.62,7.62,Constant Head,0.19,cm/hr,1,1.49,5.1,12.2,16.4,14.7,5.2,53.6,11.6,34.8,,,0.16,,,,,,,,,,,
5,Loamy Sand,Goldsboro,150,Bt4,Lab,7.62,7.62,Constant Head,0.05,cm/hr,1,1.56,2.6,11.4,17,15.2,5.2,51.4,9.2,39.4,,,0.08,,,,,,,,,,,
5,Sandy Loam,Rains,32,BAg,Lab,7.62,7.62,Constant Head,3.33,cm/hr,1,1.6,5,13.5,15.7,14.7,6.9,55.8,29.3,14.9,,,0.31,,,,,,,,,,,
5,Sandy Loam,Rains,100,Btg2,Lab,7.62,7.62,Constant Head,0.42,cm/hr,1,1.65,3.4,9.5,13.8,11.7,5.1,43.5,24.1,32.4,,,0.28,,,,,,,,,,,
5,Sandy Loam,Rains,145,Btg3,Lab,7.62,7.62,Constant Head,0.51,cm/hr,1,1.67,3.5,11.2,13.6,11.4,4.8,44.5,20.2,35.3,,,0.19,,,,,,,,,,,
5,Very Fine Sandy Loam,Aycock,46,Bt1,Lab,7.62,7.62,Constant Head,0.54,cm/hr,1,1.44,0.1,0.3,0.7,4.6,30.6,36.3,36.9,26.8,,,0.12,,,,,,,,,,,
5,Very Fine Sandy Loam,Aycock,99,Bt2,Lab,7.62,7.62,Constant Head,0.01,cm/hr,1,1.56,0.2,0.3,0.6,4.7,32.3,38,37,25,,,0.1,,,,,,,,,,,
5,Very Fine Sandy Loam,Aycock,147,Bt3,Lab,7.62,7.62,Constant Head,0.09,cm/hr,1,1.51,0.7,0.9,1.3,6.5,29.7,39.1,30,30.9,,,0.06,,,,,,,,,,,
5,Very Fine Sandy Loam,Exum,56,Bt1,Lab,7.62,7.62,Constant Head,0.78,cm/hr,1,1.56,<0.1,0.6,1,7.2,33,41.8,38.5,19.7,,,0.14,,,,,,,,,,,
5,Very Fine Sandy Loam,Exum,100,Bt2,Lab,7.62,7.62,Constant Head,0.08,cm/hr,1,1.59,0.2,0.6,0.9,6.2,31.9,39.8,33.5,26.7,,,0.08,,,,,,,,,,,
5,Very Fine Sandy Loam,Exum,150,BC,Lab,7.62,7.62,Constant Head,0.07,cm/hr,1,1.6,0.2,0.5,1.2,7.5,36.2,45.6,31.5,22.9,,,0.1,,,,,,,,,,,
5,Very Fine Sandy Loam,Grantham,51,Btg1,Lab,7.62,7.62,Constant Head,18.19,cm/hr,1,1.6,0,0.5,0.7,8.8,26.6,36.6,36.7,26.7,,,0.29,,,,,,,,,,,
5,Very Fine Sandy Loam,Grantham,91,Btg2,Lab,7.62,7.62,Constant Head,15.54,cm/hr,1,1.57,0,0.4,0.8,9.8,28.1,39.1,37.9,23,,,0.26,,,,,,,,,,,
5,Very Fine Sandy Loam,Grantham,127,BCg,Lab,7.62,7.62,Constant Head,0.23,cm/hr,1,1.61,<0.1,0.4,0.7,10.9,32.9,44.9,37,18.1,,,0.22,,,,,,,,,,,
5,Fine Sandy Loam,Faceville,25,Bt1,Lab,7.62,7.62,Constant Head,1.89,cm/hr,1,1.46,1.7,4.6,10.1,19.1,9.5,45,22.4,32.6,,,0.38,,,,,,,,,,,
5,Fine Sandy Loam,Faceville,81,Bt2,Lab,7.62,7.62,Constant Head,0.09,cm/hr,1,1.35,3,3.9,7.6,15.6,8.2,38.3,16.9,44.8,,,0.16,,,,,,,,,,,
5,Fine Sandy Loam,Faceville,127,Bt3,Lab,7.62,7.62,Constant Head,0.03,cm/hr,1,1.42,2.8,5.5,9.7,12.6,6.6,37.2,14.4,48.4,,,0.03,,,,,,,,,,,
5,Sandy Loam,Goldsboro (II),38,Bt1,Lab,7.62,7.62,Constant Head,1.12,cm/hr,1,1.57,2.3,9.9,10.9,11.4,9.6,44.1,29.3,26.6,,,0.21,,,,,,,,,,,
5,Sandy Loam,Goldsboro (II),91,Bt2,Lab,7.62,7.62,Constant Head,0.75,cm/hr,1,1.45,2.5,7,9.2,10.4,9.3,38.4,25.6,36,,,0.12,,,,,,,,,,,
5,Sandy Loam,Goldsboro (II),137,Btg,Lab,7.62,7.62,Constant Head,0.03,cm/hr,1,1.57,1.4,8,10.9,12.8,9.2,42.3,22.4,35.3,,,0.03,,,,,,,,,,,
5,Fine Sandy Loam,Rains (II),36,Btg1,Lab,7.62,7.62,Constant Head,0.95,cm/hr,1,1.63,3.2,7.9,11.2,11.4,8.3,42,30,27.1,,,0.24,,,,,,,,,,,
5,Fine Sandy Loam,Rains (II),89,Btg2,Lab,7.62,7.62,Constant Head,0.26,cm/hr,1,1.57,2.6,7.1,8.6,9.3,7.2,34.8,30.3,34.9,,,0.12,,,,,,,,,,,
5,Fine Sandy Loam,Rains (II),132,Btg3,Lab,7.62,7.62,Constant Head,0.02,cm/hr,1,1.52,2.5,7.9,10.3,9.7,6.2,36.6,23.7,39.7,,,0.14,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Ksat Yes/No,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,
7,Silt Loam,,0,,lab,51,5,hydraulic head,9.8,mm/h,1,1.31,,,,,,17.5,61.5,21,,,,,,,,,,,,,,
7,Silt Loam,,20,,lab,51,5,hydraulic head,10.5,mm/h,1,1.47,,,,,,17.5,62.5,20,,,,,,,,,,,,,,
7,Silt Loam,,70,,lab,51,5,hydraulic head,12,mm/h,1,1.44,,,,,,17.5,62.5,20,,,,,,,,,,,,,,
7,Silt Loam,,90,,lab,51,5,hydraulic head,10.8,mm/h,1,1.32,,,,,,19,63.5,17.5,,,,,,,,,,,,,,
7,Silt Loam,,120,,lab,51,5,hydraulic head,12,mm/h,1,1.32,,,,,,19,64,17,,,,,,,,,,,,,,
7,Silt Loam,,150,,lab,51,5,hydraulic head,17.8,mm/h,1,1.32,,,,,,19.5,68,12.5,,,,,,,,,,,,,,
7,Silt Loam,,180,,lab,51,5,hydraulic head,18.2,mm/h,1,1.31,,,,,,21.5,66,12.5,,,,,,,,,,,,,,
7,Silt Loam,,210,,lab,51,5,hydraulic head,19.3,mm/h,1,1.3,,,,,,22.5,65,12.5,,,,,,,,,,,,,,
7,Silt Loam,,240,,lab,51,5,hydraulic head,21.8,mm/h,1,1.34,,,,,,30,57.5,12.5,,,,,,,,,,,,,,
7,Silt Loam,,270,,lab,51,5,hydraulic head,23,mm/h,1,1.28,,,,,,31,56.5,12.5,,,,,,,,,,,,,,
7,Silt Loam,,300,,lab,51,5,hydraulic head,21.4,mm/h,1,1.27,,,,,,32.5,55,12.5,,,,,,,,,,,,,,
7,Silt Loam,,330,,lab,51,5,hydraulic head,22.6,mm/h,1,1.26,,,,,,32.5,55,12.5,,,,,,,,,,,,,,
7,Silt Loam,,360,,lab,51,5,hydraulic head,22,mm/h,1,1.31,,,,,,32.5,54,13.5,,,,,,,,,,,,,,
7,Silt Loam,,390,,lab,51,5,hydraulic head,21.3,mm/h,1,1.34,,,,,,32.5,54,13.5,,,,,,,,,,,,,,
7,Silt Loam,,420,,lab,51,5,hydraulic head,22.1,mm/h,1,1.3,,,,,,32.5,54,13.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Ksat Yes/No,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Ksat,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info
8,pedon,South P1,15,Ap,Lab,6,5.4,Constant Head,7.222552848,cm/hr,0,1.55,,,,,,40,22,38,,,,,,0.14,0.077361756,,,,,,,Ksat = geomin and Stdev_Ksat = log10(Ksat)
8,pedon,South P1,30,Bt1,Lab,6,5.4,Constant Head,28.95050092,cm/hr,0,1.43,,,,,,30,22,48,,,,,,0.11,0.410661318,,,,,,,Bulk density is an average
8,pedon,South P1,50,Bt1,Lab,6,5.4,Constant Head,9.782173019,cm/hr,0,1.44,,,,,,30,22,48,,,,,,0.1,0.190399403,,,,,,,
8,pedon,South P1,70,Bt2,Lab,6,5.4,Constant Head,0.00298284,cm/hr,0,1.36,,,,,,33,13,54,,,,,,0.13,0.02690936,,,,,,,
8,pedon,South P1,90,BC,Lab,6,5.4,Constant Head,0.002740817,cm/hr,0,1.44,,,,,,50,18,32,,,,,,0.1,0.087371995,,,,,,,
8,pedon,South P1,110,B/C,Lab,6,5.4,Constant Head,0.009358245,cm/hr,0,1.46,,,,,,47,20,33,,,,,,0.051,0.031866593,,,,,,,
8,pedon,South P1,140,B/C,Lab,6,5.4,Constant Head,5.035850482,cm/hr,0,1.41,,,,,,47,20,33,,,,,,0.057,0.020408235,,,,,,,
8,pedon,South P2,15,Ap,Lab,6,5.4,Constant Head,14.56709991,cm/hr,0,1.55,,,,,,40,22,38,,,,,,,0.176271835,,,,,,,
8,pedon,South P2,30,Bt1,Lab,6,5.4,Constant Head,,cm/hr,0,1.43,,,,,,30,22,48,,,,,,,,,,,,,,
8,pedon,South P2,50,Bt1,Lab,6,5.4,Constant Head,0.009957015,cm/hr,0,1.44,,,,,,30,22,48,,,,,,,0.057454487,,,,,,,
8,pedon,South P2,70,Bt2,Lab,6,5.4,Constant Head,0.473698598,cm/hr,0,1.36,,,,,,33,13,54,,,,,,,0.810956534,,,,,,,
8,pedon,South P2,90,BC,Lab,6,5.4,Constant Head,0.169136191,cm/hr,0,1.44,,,,,,50,18,32,,,,,,,0.668068779,,,,,,,
8,pedon,South P2,110,B/C,Lab,6,5.4,Constant Head,24.39979508,cm/hr,0,1.46,,,,,,47,20,33,,,,,,,0.002517166,,,,,,,
8,pedon,South P2,140,B/C,Lab,6,5.4,Constant Head,0.025078545,cm/hr,0,1.41,,,,,,47,20,33,,,,,,,0.182439069,,,,,,,
8,pedon,North P1,12,Ap,Lab,6,5.4,Constant Head,1.08343619,cm/hr,0,1.52,6.2,7.5,11.9,18.4,5,49,22,29,,,,,,0.058,0.742619084,,,,,,,
8,pedon,North P1,37,Bt1,Lab,6,5.4,Constant Head,0.331638026,cm/hr,0,1.41,7.4,7.4,9,10.8,2.5,37.1,17,46,,,,,,0.066,0.449332807,,,,,,,
8,pedon,North P1,62,Bt2,Lab,6,5.4,Constant Head,0.121812838,cm/hr,0,1.44,4.5,5.7,7.1,9.5,2.2,29,17,54,,,,,,0.078,0.932195314,,,,,,,
8,pedon,North P1,90,BC,Lab,6,5.4,Constant Head,0.530771252,cm/hr,0,1.54,9,7.8,8,9.2,3,37,16,47,,,,,,0.024,0.649425923,,,,,,,
8,pedon,North P1,132,B/C,Lab,6,5.4,Constant Head,2.277978218,cm/hr,0,1.36,4.4,4.5,10.6,13.7,5.8,39,22,39,,,,,,0.118,0.444960309,,,,,,,
8,pedon,Plot 1,0- 6 ,Ap,Lab,6,5.4,Constant Head,20.7,cm/hr,1,1.43,8.3,20.4,23.7,15.7,5.1,73.2,17,10,,,,,,0.04,,,,,,,,
8,pedon,Plot 1,11-May,Ap ,Lab,6,5.4,Constant Head,12.5,cm/hr,1,1.59,9,18.6,23,15.8,5.6,72,17,11,,,,,,0.09,,,,,,,,
8,pedon,Plot 1,18-Dec,Ap ,Lab,6,5.4,Constant Head,5.58,cm/hr,1,1.71,8.6,16.9,21.2,14.1,5.6,66.4,20,14,,,,,,0.09,,,,,,,,
8,pedon,Plot 1,20-26 ,BA ,Lab,6,5.4,Constant Head,2.52,cm/hr,1,1.68,8.4,13.6,15.2,10.9,3.7,51.8,19,29,,,,,,0.09,,,,,,,,
8,pedon,Plot 1,26-32 ,BA ,Lab,6,5.4,Constant Head,5.66,cm/hr,1,1.52,7.6,12.8,12.2,8,3.7,44.3,16,40,,,,,,0.1,,,,,,,,
8,pedon,Plot 1,32-38 ,Btl ,Lab,6,5.4,Constant Head,2.3,cm/hr,1,1.47,6.3,11.2,10.6,6.3,3.6,38,14,48,,,,,,0.04,,,,,,,,
8,pedon,Plot 1,52-60,Btl ,Lab,6,5.4,Constant Head,1.45 X 10^-2,cm/hr,1,1.63,4.8,10.7,9.6,6.3,3.8,35.2,16,49,,,,,,0.03,,,,,,,,
8,pedon,Plot 1,62-75,Btl ,Lab,6,5.4,Constant Head,3.26 X 1O^-2,cm/hr,1,1.58,4.8,10.7,9.6,6.3,3.8,35.2,16,49,,,,,,0.06,,,,,,,,
8,pedon,Plot 1,77-84,Bt2,Lab,6,5.4,Constant Head,1.11 x 10^-2,cm/hr,1,1.66,6.4,12.9,10.9,8,4.5,42.7,19,38,,,,,,0.05,,,,,,,,
8,pedon,Plot 1,84-96,Bt2,Lab,6,5.4,Constant Head,1.09 X 10^-2,cm/hr,1,1.71,6.4,12.9,10.9,8,4.5,42.7,19,38,,,,,,0.03,,,,,,,,
8,pedon,Plot 1,106-118,Bt3 ,Lab,6,5.4,Constant Head,8.97 X 10^-3,cm/hr,1,1.63,5.6,11.9,11.9,8.6,5.3,43.3,22,35,,,,,,0.07,,,,,,,,Particle size may not be exact match with depth
8,pedon,Plot 1,135-150,BC,Lab,6,5.4,Constant Head,1.89X 10^-2,cm/hr,1,1.65,7.3,15.1,12.4,11.1,6.6,52.5,22,26,,,,,,0.07,,,,,,,,Particle size may not be exact match with depth
8,pedon,Plot 1,166-182,C1,Lab,6,5.4,Constant Head,4.92 X 10^-2,cm/hr,1,1.61,11.3,18.5,14.4,12.2,7.9,64.3,21,15,,,,,,0.06,,,,,,,,Particle size may not be exact match with depth
8,pedon,Plot 1,194-205,C2,Lab,6,5.4,Constant Head,1.58X 10^-1 ,cm/hr,1,1.56,9.7,19.6,15.9,14.1,8.1,67.4,21,12,,,,,,0.07,,,,,,,,Particle size may not be exact match with depth
8,pedon,Plot 2,0- 6 ,Ap ,Lab,6,5.4,Constant Head,28.1,cm/hr,1,1.38,5.2,17.5,21.7,14.4,4.1,62.9,24,13,,,,,,0.08,,,,,,,,
8,pedon,Plot 2,13-Jul,Ap ,Lab,6,5.4,Constant Head,6.88,cm/hr,1,1.57,6.6,18.8,21.2,12.9,4,63.5,25,12,,,,,,0.07,,,,,,,,
8,pedon,Plot 2,32-38,BA ,Lab,6,5.4,Constant Head,3.34,cm/hr,1,1.65,3.4,14.2,18.2,11.7,3.3,50.8,23,26,,,,,,0.06,,,,,,,,
8,pedon,Plot 2,47-54,BA ,Lab,6,5.4,Constant Head,4.23,cm/hr,1,1.58,3.4,14.2,18.2,11.7,3.3,50.8,23,26,,,,,,0.05,,,,,,,,
8,pedon,Plot 2,62-68,Btl ,Lab,6,5.4,Constant Head,7.04 X 10^-1,cm/hr,1,1.6,5.4,12.6,14.2,8.7,3.2,44.1,16,40,,,,,,0.05,,,,,,,,
8,pedon,Plot 2,82-88,Bt2 ,Lab,6,5.4,Constant Head,3.35X10^-1,cm/hr,1,1.7,4.8,10.8,12.6,7.6,3.9,39.7,15,46,,,,,,0.04,,,,,,,,
8,pedon,Plot 2,102-108,Bt3,Lab,6,5.4,Constant Head,8.06X10^-1,cm/hr,1,1.66,4.8,10.8,12.6,7.6,3.9,39.7,15,46,,,,,,0.05,,,,,,,,
